Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Anual,NTE INEN_1108,DQO,26/12/2018 0:00,4,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Anual,NTE INEN_1108,Coliformes fecales,26/12/2018 0:00,81.6,
Molino,Agua potable,Planta_de_agua_potable,777949,9714137,Anual,NTE INEN_1108,Hierro,26/12/2018 0:00,0.25,
Molino,Agua potable,Campamento_malvinas,777787,9714460,Anual,NTE INEN_1108,Color real,26/12/2018 0:00,1,
Molino,Agua potable,Campamento_malvinas,777787,9714460,Anual,NTE INEN_1108,Turbiedad,26/12/2018 0:00,0.1,
Molino,Agua potable,Campamento_malvinas,777787,9714460,Anual,NTE INEN_1108,DBO5,26/12/2018 0:00,2,
Molino,Agua potable,Campamento_malvinas,777787,9714460,Anual,NTE INEN_1108,DQO,26/12/2018 0:00,4,
Molino,Agua potable,Campamento_malvinas,777787,9714460,Anual,NTE INEN_1108,Coliformes fecales,26/12/2018 0:00,1,
Molino,Agua potable,Campamento_malvinas,777787,9714460,Anual,NTE INEN_1108,Hierro,26/12/2018 0:00,0.25,
Molino,Agua potable,Taller_automotriz,777492,9714606,Anual,NTE INEN_1108,Color real,26/12/2018 0:00,1,
Molino,Agua potable,Taller_automotriz,777492,9714606,Anual,NTE INEN_1108,Turbiedad,26/12/2018 0:00,1.75,
Molino,Agua potable,Taller_automotriz,777492,9714606,Anual,NTE INEN_1108,DBO5,26/12/2018 0:00,2,
Molino,Agua potable,Taller_automotriz,777492,9714606,Anual,NTE INEN_1108,DQO,26/12/2018 0:00,4,
Molino,Agua potable,Taller_automotriz,777492,9714606,Anual,NTE INEN_1108,Coliformes fecales,26/12/2018 0:00,1,
Molino,Agua potable,Taller_automotriz,777492,9714606,Anual,NTE INEN_1108,Hierro,26/12/2018 0:00,0.25,
