Central,Recurso,Punto_de_ medición,X_coord,Y_coord,Frecuencia ,Norma_tabla,Parámetro,Fecha,Medición,Observación
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Anual,Acuerdo_ministerial 97a_tabla 2,pH,17/09/2019 15:09,7.6,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,17/09/2019 15:09,21,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,17/09/2019 15:09,34,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto,17/09/2019 15:09,10.53,
Molino,Agua de rio,Amaluza,771211,9711176,Anual,Acuerdo_ministerial 97a_tabla 2,pH,17/09/2019 15:09,8.1,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,17/09/2019 15:09,6,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,17/09/2019 15:09,10,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto ,17/09/2019 15:09,10.21,
Molino,Agua de rio,Chorro blanco,774278,9709212,Anual,Acuerdo_ministerial 97a_tabla 2,pH,17/09/2019 15:09,7.7,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,17/09/2019 12:50,6,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,17/09/2019 12:50,10,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto ,17/09/2019 12:50,10.19,
Molino,Agua de rio,Guarumales,777186,9714900,Anual,Acuerdo_ministerial 97a_tabla 2,pH,17/09/2019 12:50,7.8,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,17/09/2019 12:50,6,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,17/09/2019 12:50,10,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto ,17/09/2019 12:50,10.37,
Molino,Agua de rio,L1,777850,9715284,Anual,Acuerdo_ministerial 97a_tabla 2,pH,17/09/2019 12:50,7.8,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,DBO5,17/09/2019 12:50,25,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,DQO,17/09/2019 12:50,43,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,Oxígeno disuelto ,17/09/2019 12:50,10.42,
Molino,Agua de rio,Después_de_la_descarga_sopladora,785286,9711896,Anual,Acuerdo_ministerial 97a_tabla 2,pH,17/09/2019 12:50,7.7,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,29/08/2020 16:30,505,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,29/08/2020 16:30,"0,69",
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,29/08/2020 16:30,4,
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,Nitratos,29/08/2020 16:30,"1,4",
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,Nitritos,29/08/2020 16:30,"0,007",
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,pH,29/08/2020 16:30,"7,04",
Molino,Agua de rio,Pie_de_presa_daniel_palacios                                                                                                                                                                                                                              ,770863,9712648,Semestral,Acuerdo_ministerial 97a_tabla 2,Turbiedad,29/08/2020 16:30,"1,76",
Molino,Agua de rio,Amaluza ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,Coliformes fecales,29/08/2020 17:30,1300,
Molino,Agua de rio,Amaluza ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,DBO5,29/08/2020 17:30,"0,75",
Molino,Agua de rio,Amaluza ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,DQO,29/08/2020 17:30,4,
Molino,Agua de rio,Amaluza ,771211,9711176,Semestral,Acuerdo_ministerial 97a_tabla 2,Nitritos,29/08/2020 17:30,"0,007",
